DB,ID,Food Description,Manufacturer 
, , ,  
BF, 45059050, A.A. BORSARI PEPPER SEASONING PEPPERCORN UPC: 815893000163, Valley Brook Farm 
BF, 45058983, A.A. BORSARI SAVORY SEASONED SALT UPC: 815893000156, Valley Brook Farm 
BF, 45078606, AARDVARK HABENERO HOT SAUCE UPC: 853393000030, Secret Aardvark Trading Company 
BF, 45169417, A&B AMERICAN STYLE MORE HEAT SMALL BATCH PEPPER SAUCE UPC: 851063005040, A & B AMERICAN STYLE LLC 
BF, 45169419, A&B AMERICAN STYLE ORGANIC PEPPER SAUCE UPC: 851063005118, A & B AMERICAN STYLE LLC 
BF, 45253484, A&B AMERICAN STYLE PEPPER SAUCE GARLIC UPC: 851063005064, Namaste Foods 
BF, 45169416, A&B AMERICAN STYLE SMALL BATCH PEPPER SAUCE ORIGINAL UPC: 851063005019, A & B AMERICAN STYLE LLC 
BF, 45094214, A. BAUER'S PREPARED MUSTARD UPC: 723738002022, August Bauer's Sons Inc. 
BF, 45156252, ABBA-ZABA SNACK SIZE BITES CANDY UPC: 070602609000, Annabelle Candy Co. Inc. 
BF, 45147647, ABBA-ZABA'S TAFFY WILD STRAWBERRY SOUR UPC: 070602066001, Annabelle Candy Co. Inc. 
BF, 45093932, ABBEY FARM RHUBARB & GINGER PRESERVE UPC: 763242039022, Bewley Irish Imports 
BF, 45335721, ABBOTT EAS ADVANTEDGE CARB CONTROL SHAKES CAFE CARAMEL UPC: 791083309240, Ross Products Division 
BF, 45258948, ABBOTT EAS MYOPLEX 30 BUILD MUSCLE BAR CHOCOLATE PEANUT BUTTER UPC: 791083622813, Ross Products Division 
BF, 45248131, ABBOTT EAS PURE WHEY PROTEIN POWDER CHOCOLATE UPC: 791083649704, Ross Products Division 
BF, 45194361, ABBYLAND BRAT 'N CHEDDAR SMOKED SAUSAGE UPC: 024557162158, Abbyland Foods Inc. 
BF, 45194359, ABBYLAND SMOKED BRATWURST UPC: 024557140132, Abbyland Foods Inc. 
BF, 45187885, ABBY'S CARAWAY RYE UPC: 853824004101, A.M. Baking Company Inc. 
BF, 45205950, ABBY'S MILLSTONE BAKING COMPANY FLORENTINE COOKIE UPC: 853824004729, A.M. Baking Company Inc. 
BF, 45205949, ABBY'S MILLSTONE BAKING COMPANY RASPBERRY ALMOND MERINGUE UPC: 853824004682, none 
BF, 45255681, ABBY'S MILLSTONE BAKING COMPANY SOURDOUGH UPC: 853824004118, none 
BF, 45091765, ABC JELLY SNACK TARO UPC: 4711269687135, none 
BF, 45166992, ABC PEANUT BUTTER UPC: 837991219186, none 
BF, 45153753, ABDALLAH ALMOND COCONUT CARAMELS UPC: 766684006058, Abdallah Inc. 
BF, 45145908, ABDALLAH ENGLISH TOFFEE UPC: 766684006027, Abdallah Inc. 
BF, 45161152, ABDALLAH MY SWEET REWARD CARAMEL PATTIES UPC: 766684006003, Abdallah Inc. 
